Unnamed: 0,Ministério da Educação,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                      Taxas de Rendimento Escolar - Brasil, Regiões Geográficas e Unidades da Federação - 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Taxas de Rendimento Escolar (Aprovação, Reprovação e Abandono), segundo a Localização e a Dependência Administrativa, nos Níveis de Ensino Fundamental e Médio - Brasil, Regiões Geográficas e Unidades da Federação - 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ano,Unidade Geográfica,Localização,Dependência Administrativa,Taxa de Aprovação,,,,,,,,,,,,,,,,,,Taxa de Reprovação,,,,,,,,,,,,,,,,,,Taxa de Abandono,,,,,,,,,,,,,,,,,
,,,,Ensino Fundamental de 8 e 9 anos,,,,,,,,,,,, Ensino Médio,,,,,,Ensino Fundamental de 8 e 9 anos,,,,,,,,,,,, Ensino Médio,,,,,,Ensino Fundamental de 8 e 9 anos,,,,,,,,,,,, Ensino Médio,,,,,
,,,,Total,Anos Iniciais,Anos Finais,1º Ano ,2º Ano,3º Ano,4º Ano,5º Ano,6º Ano,7º Ano,8º Ano,9º Ano,Total  ,1ª série,2ª série,3ª série,4ª série,Não-Seriado,Total,Anos Iniciais,Anos Finais,1º Ano ,2º Ano,3º Ano,4º Ano,5º Ano,6º Ano,7º Ano,8º Ano,9º Ano,Total  ,1ª série,2ª série,3ª série,4ª série,Não-Seriado,Total,Anos Iniciais,Anos Finais,1º Ano ,2º Ano,3º Ano,4º Ano,5º Ano,6º Ano,7º Ano,8º Ano,9º Ano,Total  ,1ª série,2ª série,3ª série,4ª série,Não-Seriado
NU_ANO_CENSO,UNIDGEO,NO_CATEGORIA,NO_DEPENDENCIA,1_CAT_FUN,1_CAT_FUN_AI,1_CAT_FUN_AF,1_CAT_FUN_01,1_CAT_FUN_02,1_CAT_FUN_03,1_CAT_FUN_04,1_CAT_FUN_05,1_CAT_FUN_06,1_CAT_FUN_07,1_CAT_FUN_08,1_CAT_FUN_09,1_CAT_MED,1_CAT_MED_01,1_CAT_MED_02,1_CAT_MED_03,1_CAT_MED_04,1_CAT_MED_NS,2_CAT_FUN,2_CAT_FUN_AI,2_CAT_FUN_AF,2_CAT_FUN_01,2_CAT_FUN_02,2_CAT_FUN_03,2_CAT_FUN_04,2_CAT_FUN_05,2_CAT_FUN_06,2_CAT_FUN_07,2_CAT_FUN_08,2_CAT_FUN_09,2_CAT_MED,2_CAT_MED_01,2_CAT_MED_02,2_CAT_MED_03,2_CAT_MED_04,2_CAT_MED_NS,3_CAT_FUN,3_CAT_FUN_AI,3_CAT_FUN_AF,3_CAT_FUN_01,3_CAT_FUN_02,3_CAT_FUN_03,3_CAT_FUN_04,3_CAT_FUN_05,3_CAT_FUN_06,3_CAT_FUN_07,3_CAT_FUN_08,3_CAT_FUN_09,3_CAT_MED,3_CAT_MED_01,3_CAT_MED_02,3_CAT_MED_03,3_CAT_MED_04,3_CAT_MED_NS
2025,Brasil,Total,Total,97.4,98.3,96.2,99.2,98.8,97,98.1,98.2,95.7,95.7,96.3,97.2,94.8,93,95,97.1,94.2,86.5,2.1,1.5,2.9,0.5,1.1,2.7,1.7,1.5,3.6,3.4,2.7,1.9,3,4.4,2.8,1.4,3.8,7.4,0.5,0.2,0.9,0.3,0.1,0.3,0.2,0.3,0.7,0.9,1,0.9,2.2,2.6,2.2,1.5,2,6.1
2025,Brasil,Urbana,Total,97.5,98.4,96.4,99.2,98.8,97.3,98.3,98.6,96,96,96.5,97.3,94.8,93,95,97.1,93.9,85.3,2,1.4,2.8,0.5,1.1,2.5,1.5,1.3,3.3,3.3,2.6,1.9,3.1,4.4,2.8,1.4,4.1,8.4,0.5,0.2,0.8,0.3,0.1,0.2,0.2,0.1,0.7,0.7,0.9,0.8,2.1,2.6,2.2,1.5,2,6.3
